company;isin;names;edgar_name;cik;note;ticker
85;US50075N1046;['KRAFT FOODS INC A'];KRAFT FOODS GROUP, INC.;1545158;note: merger with HEINZ H.J.;
141;US5007541064;['KRAFT HEINZ'];KRAFT HEINZ CO;1637459;result of merger;KHC
106;US5398301094;['LOCKHEED MARTIN CORP'];LOCKHEED MARTIN CORP;936468;;LMT
104;US5486611073;['LOWES COMPANIES INC'];LOWES COMPANIES INC;60667;;LOW
90;US57636Q1040;['MASTERCARD INC CLASS A'];MASTERCARD INC;1141391;;MA
36;US5801351017;['MCDONALDS CORP'];MCDONALDS CORP;63908;;MCD
41;US5850551061;['MEDTRONIC PLC'];MEDTRONIC PLC;1613103;;MDT
41;IE00BTN1Y115;['MEDTRONIC PLC'];MEDTRONIC PLC;1613103;kind of weird ISIN;
60;US5893311077;['MERCK & CO INC'];MERCK & CO INC;64978;;MRK
60;US58933Y1055;['MERCK & CO INC'];MERCK & CO INC;64978;;
48;US5901881087;['MERRILL LYNCH & CO. INC.'];MERRILL LYNCH & CO., INC.;65100;note: acquired by BofA;
102;US59156R1086;['METLIFE INC'];METLIFE INC;1099219;;MET
77;US5949181045;['MICROSOFT CORP'];MICROSOFT CORP;789019;;MSFT
125;US6092071058;['MONDELEZ INTERNATIONAL INC CLASS A'];MONDELEZ INTERNATIONAL, INC.;1103982;;MDLZ
98;US61166W1018;['MONSANTO'];MONSANTO CO;1110783;acquired by Bayer;
57;US6174464486;['MORGAN STANLEY'];MORGAN STANLEY;895421;;MSFT
92;US6370711011;['NATIONAL OILWELL VARCO INC'];NATIONAL OILWELL VARCO INC;1021860;;NOV
111;US65248E1047;['NEWS CORP. CL A'];NEWS CORP;1564708;;NWSA
139;US65339F1012;['NEXTERA ENERGY INC'];NEXTERA ENERGY INC;753308;;NEE
107;US6541061031;['NIKE INC CLASS B'];NIKE, INC.;320187;;NKE
14;US6558441084;['NORFOLK SOUTHERN CORP'];NORFOLK SOUTHERN CORP;702165;;NSC
91;US6294911010;['NYSE EURONEXT'];NYSE EURONEXT;1368007;;NYX
93;US6745991058;['OCCIDENTAL PETROLEUM CORP'];OCCIDENTAL PETROLEUM CORP;1409357;;OXY
49;US68389X1054;['ORACLE CORP'];ORACLE CORP;1341439;;ORCL
135;US70450Y1038;['PAYPAL HOLDINGS INC'];PAYPAL HOLDINGS, INC.;1633917;;PYPL
62;US7134481081;['PEPSICO INC'];PEPSICO INC;77476;;PEP
76;US7170811035;['PFIZER INC'];PFIZER INC;78003;;PFE
96;US7181721090;['PHILIP MORRIS INTERNATIONAL INC'];PHILIP MORRIS INTERNATIONAL INC.;1413329;Altria;
133;US7415034039;['PRICELINE GROUP INC/THE', ' THE PRICELINE GROUP INC'];unclear;1075531;note: now called BOOKING HOLDINGS INC. (0002075531);BKNG
75;US7427181091;['PROCTER & GAMBLE'];PROCTER & GAMBLE CO;80424;;PG
95;US7475251036;['QUALCOMM INC'];QUALCOMM INC/DE;804328;;QCOM
15;US7551115071;['RAYTHEON'];RAYTHEON CO/;1047122;note: UNITED TECHNOLOGIES merger;
82;US7591EP1005;['REGIONS FINANCIAL CORP'];REGIONS FINANCIAL CORP;1281761;;RF
2;US8031111037;['SARA LEE CORP.'];unclear;0;note: split into two companies, one of which is HILLSHIRE BRANDS CO (0000023666);
51;AN8068571086;['SCHLUMBERGER LTD.', ' SCHLUMBERGER NV'];SCHLUMBERGER LIMITED/NV;87347;;SLB
119;US8288061091;['SIMON PROPERTY GROUP REIT INC'];SIMON PROPERTY GROUP INC;1063761;note: seems to have two names (?), also SIMON PROPERTY GROUP LP;SPG
19;US8425871071;['SOUTHERN'];SOUTHERN CO;92122;;SO
39;US8520611000;['SPRINT NEXTEL CORP'];SPRINT NEXTEL CORP;101830;acquired/merged with T-Mobile;S_old
121;US8552441094;['STARBUCKS CORP'];STARBUCKS CORP;887557;;SBUX
35;US87612E1064;['TARGET CORP'];TARGET CORP;27419;;TGT
38;US8825081040;['TEXAS INSTRUMENT INC', ' TEXAS INSTRUMENTS INCORPORATED'];TEXAS INSTRUMENTS INC;97476;;TXN
52;US8873171057;['TIME WARNER INC.'];TIME WARNER INC.;1105705;acquired also;TWX
52;US8873173038;['TIME WARNER INC'];TIME WARNER INC;1105705;;
124;US90130A1016;['TWENTY FIRST CENTURY FOX INC CLASS'];TWENTY_FIRST CENTURY FOX, INC.;1308161;acquired by Disney partially, rest is Fox;
124;US90130A2006;['TWENTY-FIRST CENTURY FOX INC CLASS'];unclear;0;;
113;US9078181081;['UNION PACIFIC CORP'];UNION PACIFIC CORP;100885;;UNP
56;US9113121068;['UNITED PARCEL SERVICE INC CLASS B'];UNITED PARCEL SERVICE INC;1090727;;UPS
45;US9130171096;['UNITED TECHNOLOGIES CORP'];RAYTHEON TECHNOLOGIES CORP;101829;note: some stuff with Raytheon going on;
94;US91324P1021;['UNITEDHEALTH GROUP INC'];UNITEDHEALTH GROUP INC;731766;;UNH
43;US9029733048;['US BANCORP'];US BANCORP \DE\;36104;;USB-PO
63;US92343V1044;['VERIZON COMMUNICATIONS INC'];VERIZON COMMUNICATIONS INC;732712;;VZ
114;US92826C8394;['VISA INC', ' VISA INC CLASS A'];VISA INC.;1403161;;VZ
100;US9314271084;['WALGREEN BOOTS ALLIANCE', ' WALGREEN BOOTS ALLIANCE INC'];WALGREENS BOOTS ALLIANCE, INC.;1618921;;WBA
100;US9314221097;['WALGREEN'];WALGREEN CO;104207;;
65;US9311421039;['WALMART STORES INC', ' WALMART INC'];WALMART INC.;104169;;WMT
46;US2546871060;['WALT DISNEY'];WALT DISNEY CO;1744489;;DIS
66;US9497461015;['WELLS FARGO CO', ' WELLS FARGO'];WELLS FARGO & COMPANY/MN;72971;;WFC
9;US9621661043;['WEYERHAEUSER REIT'];WEYERHAUSER CO;106535;;WY
7;US9694571004;['WILLIAMS INC'];WILLIAMS COMPANIES, INC.;107263;;WMB
11;US9841211033;['XEROX CORP'];XEROX CORP;108772;;XRX
